Lead Source,Total Time Spent on Website,Total Visits,Last Activity,Converted
Referral,2504,3,Other,0
Organic Search,1464,2,Other,0
Social Media,97,6,Page Visited,0
Google,292,12,Form Submitted,0
Google,1839,19,Other,1
Direct Traffic,1734,15,Page Visited,0
Organic Search,2619,19,Other,0
Social Media,4747,12,Other,0
Google,2196,18,Email Opened,0
Organic Search,3466,16,Other,0
Direct Traffic,1906,2,Page Visited,0
Referral,1721,11,Other,0
Organic Search,3691,12,Page Visited,0
Organic Search,1816,5,Email Opened,1
Referral,252,6,Email Opened,0
Organic Search,4227,11,Form Submitted,0
Direct Traffic,3519,10,Email Opened,1
Direct Traffic,1907,4,Email Opened,1
Referral,1910,9,Page Visited,0
Social Media,2521,12,Form Submitted,1
Google,3849,10,Email Opened,0
Social Media,1058,14,Other,0
Organic Search,3538,5,Form Submitted,0
Google,2322,1,Email Opened,0
Referral,186,5,Form Submitted,0
Referral,948,16,Email Opened,0
Google,2290,5,Page Visited,0
Direct Traffic,4359,5,Form Submitted,1
Google,4617,18,Form Submitted,0
Organic Search,4878,6,Email Opened,0
Direct Traffic,4630,18,Form Submitted,0
Referral,209,10,Email Opened,0
Google,2093,15,Other,1
Social Media,3538,11,Form Submitted,0
Social Media,1563,19,Form Submitted,0
Organic Search,25,13,Page Visited,0
Social Media,174,3,Page Visited,1
Google,1334,16,Form Submitted,0
Google,321,7,Page Visited,0
Social Media,4150,12,Form Submitted,0
Google,4047,15,Email Opened,1
Organic Search,3227,8,Form Submitted,0
Direct Traffic,1872,17,Form Submitted,1
Organic Search,2067,1,Other,0
Organic Search,332,8,Page Visited,0
Google,2991,14,Page Visited,0
Direct Traffic,910,10,Other,0
Google,4496,19,Email Opened,1
Referral,949,8,Email Opened,1
Google,2075,19,Email Opened,0
Google,2514,4,Other,0
Google,3331,10,Form Submitted,1
Direct Traffic,3029,3,Email Opened,0
Google,100,4,Email Opened,1
Direct Traffic,4646,16,Other,1
Social Media,2400,4,Page Visited,0
Referral,3371,13,Other,1
Direct Traffic,2343,17,Page Visited,0
Social Media,352,16,Email Opened,0
Direct Traffic,2955,17,Email Opened,0
Direct Traffic,1018,6,Form Submitted,0
Referral,1179,3,Form Submitted,0
Organic Search,3536,4,Page Visited,1
Organic Search,3650,8,Email Opened,0
Direct Traffic,2502,9,Email Opened,0
Google,3819,1,Other,0
Social Media,979,13,Email Opened,0
Google,4834,2,Email Opened,0
Google,976,10,Other,0
Direct Traffic,1371,19,Other,0
Direct Traffic,2280,17,Email Opened,0
Direct Traffic,4576,13,Form Submitted,1
Direct Traffic,107,14,Form Submitted,0
Organic Search,972,11,Email Opened,0
Direct Traffic,1626,10,Form Submitted,1
Organic Search,703,7,Other,1
Organic Search,874,10,Form Submitted,0
Direct Traffic,3809,1,Email Opened,0
Referral,2411,14,Form Submitted,1
Social Media,2107,3,Email Opened,0
Google,3553,13,Form Submitted,1
Organic Search,1273,2,Email Opened,0
Social Media,559,17,Email Opened,0
Referral,116,3,Form Submitted,0
Google,4969,15,Form Submitted,0
Google,3046,8,Other,0
Organic Search,43,6,Page Visited,0
Direct Traffic,508,9,Email Opened,0
Referral,3439,11,Email Opened,1
Organic Search,3928,2,Email Opened,0
Referral,4944,9,Email Opened,0
Direct Traffic,916,18,Form Submitted,1
Direct Traffic,2945,19,Form Submitted,0
Organic Search,798,18,Page Visited,0
Direct Traffic,4971,5,Email Opened,0
Social Media,1760,18,Page Visited,0
Google,2333,12,Other,0
Organic Search,3275,4,Page Visited,1
Referral,818,15,Page Visited,0
Social Media,2168,11,Other,0
Organic Search,3735,19,Other,0
Direct Traffic,3065,5,Page Visited,0
Direct Traffic,3259,6,Other,1
Direct Traffic,906,13,Page Visited,0
Direct Traffic,4108,10,Form Submitted,0
Referral,602,14,Form Submitted,0
Social Media,4295,4,Page Visited,0
Google,2633,12,Other,0
Referral,1791,15,Other,0
Referral,3527,10,Form Submitted,0
Google,4543,11,Form Submitted,1
Google,1811,9,Other,0
Direct Traffic,3911,11,Other,0
Referral,840,2,Other,0
Organic Search,3142,13,Other,0
Google,4685,8,Page Visited,0
Google,2090,8,Other,1
Social Media,4615,1,Form Submitted,0
Organic Search,1036,6,Form Submitted,0
Organic Search,724,13,Email Opened,1
Google,987,9,Other,0
Direct Traffic,802,6,Page Visited,0
Social Media,2582,15,Email Opened,0
Organic Search,3837,16,Email Opened,0
Google,526,4,Page Visited,0
Organic Search,1665,17,Email Opened,0
Social Media,1138,9,Email Opened,0
Social Media,459,12,Form Submitted,0
Referral,2552,19,Email Opened,1
Google,4420,12,Page Visited,1
Social Media,4674,6,Other,0
Referral,2808,12,Other,0
Referral,2898,9,Other,0
Organic Search,3243,5,Form Submitted,0
Organic Search,4068,3,Form Submitted,0
Referral,2331,2,Form Submitted,0
Organic Search,4570,8,Page Visited,0
Social Media,3685,10,Other,1
Direct Traffic,631,15,Page Visited,0
Social Media,4798,9,Page Visited,1
Referral,2456,10,Email Opened,1
Referral,981,11,Other,0
Social Media,4654,9,Email Opened,0
Organic Search,4317,14,Form Submitted,0
Organic Search,1556,5,Form Submitted,0
Referral,2205,9,Page Visited,0
Google,4443,4,Page Visited,0
Organic Search,4984,2,Email Opened,0
Social Media,3955,19,Email Opened,0
Organic Search,921,1,Page Visited,1
Social Media,404,1,Other,0
Referral,4772,12,Page Visited,0
Organic Search,4684,11,Other,0
Social Media,1620,1,Email Opened,1
Referral,2952,14,Form Submitted,0
Google,3118,11,Form Submitted,1
Social Media,1594,7,Email Opened,1
Google,565,2,Email Opened,1
Google,4799,15,Form Submitted,0
Direct Traffic,2868,8,Other,0
Organic Search,857,15,Email Opened,0
Social Media,1284,8,Other,0
Google,584,10,Other,0
Direct Traffic,4327,19,Form Submitted,0
Referral,1245,3,Other,0
Social Media,51,14,Form Submitted,0
Google,2163,9,Email Opened,0
Organic Search,537,9,Page Visited,0
Direct Traffic,540,6,Page Visited,1
Google,814,8,Page Visited,0
Organic Search,1415,11,Page Visited,0
Google,2838,8,Page Visited,0
Social Media,1652,12,Page Visited,1
Social Media,2665,10,Other,1
Social Media,4514,4,Other,0
Direct Traffic,4062,16,Page Visited,0
Social Media,2356,6,Email Opened,0
Organic Search,3810,9,Email Opened,0
Google,863,5,Other,1
Referral,185,6,Other,0
Organic Search,4356,17,Page Visited,0
Organic Search,1551,17,Email Opened,0
Social Media,2207,13,Form Submitted,1
Direct Traffic,761,17,Page Visited,0
Google,4319,14,Other,1
Direct Traffic,1279,2,Other,0
Google,4275,19,Other,0
Google,4727,3,Form Submitted,0
Direct Traffic,3694,2,Email Opened,0
Organic Search,3281,2,Other,1
Google,1536,7,Page Visited,1
Direct Traffic,3164,4,Form Submitted,0
Google,2770,17,Email Opened,0
Referral,1963,6,Page Visited,0
Organic Search,3845,7,Page Visited,0
Social Media,3435,6,Form Submitted,0
Google,4710,9,Form Submitted,0
Referral,561,4,Form Submitted,1
Social Media,2421,5,Other,1
Social Media,4717,19,Email Opened,0
Google,2135,10,Other,1
Direct Traffic,2061,18,Form Submitted,0
Google,2180,15,Form Submitted,0
Referral,1960,1,Form Submitted,0
Social Media,3879,5,Other,0
Google,3279,5,Page Visited,1
Direct Traffic,3884,8,Form Submitted,1
Google,3270,15,Other,0
Organic Search,4687,17,Form Submitted,0
Direct Traffic,582,19,Other,0
Referral,1613,13,Email Opened,0
Social Media,1101,10,Email Opened,1
Google,288,17,Other,1
Direct Traffic,3859,5,Form Submitted,0
Organic Search,3060,18,Other,1
Direct Traffic,2926,17,Email Opened,0
Organic Search,4102,4,Other,0
Referral,1183,7,Email Opened,0
Social Media,4335,5,Email Opened,1
Referral,1446,8,Page Visited,0
Google,1749,8,Form Submitted,1
Direct Traffic,1903,11,Other,0
Organic Search,3175,9,Form Submitted,0
Organic Search,1077,19,Form Submitted,0
Direct Traffic,2377,19,Email Opened,1
Direct Traffic,847,9,Email Opened,0
Google,2876,17,Other,1
Referral,1239,16,Other,0
Organic Search,1332,7,Other,0
Google,3506,3,Email Opened,1
Referral,2379,19,Page Visited,0
Google,4791,8,Other,1
Organic Search,4122,5,Email Opened,0
Direct Traffic,3237,6,Page Visited,0
Direct Traffic,2365,2,Form Submitted,1
Referral,2412,19,Email Opened,1
Social Media,3174,13,Other,0
Referral,372,6,Other,0
Social Media,1949,6,Page Visited,0
Google,244,2,Page Visited,0
Google,1840,5,Email Opened,0
Organic Search,3427,11,Page Visited,0
Social Media,124,11,Email Opened,1
Organic Search,4632,14,Page Visited,1
Direct Traffic,2753,13,Form Submitted,0
Social Media,1919,8,Other,1
Referral,1635,15,Other,0
Direct Traffic,1425,12,Form Submitted,0
Direct Traffic,1540,3,Other,1
Referral,530,5,Other,1
Direct Traffic,4349,6,Other,0
Social Media,3103,2,Other,1
Organic Search,4756,8,Form Submitted,0
Direct Traffic,1801,5,Email Opened,1
Social Media,1036,17,Other,0
Google,3728,2,Form Submitted,1
Social Media,4011,11,Other,0
Organic Search,3463,4,Form Submitted,0
Social Media,1142,11,Form Submitted,0
Referral,1755,9,Email Opened,0
Organic Search,4840,6,Page Visited,0
Google,1629,2,Email Opened,1
Referral,762,15,Email Opened,1
Social Media,4889,5,Other,0
Organic Search,4839,12,Form Submitted,1
Google,3957,13,Page Visited,0
Referral,557,17,Form Submitted,0
Google,4621,4,Other,1
Social Media,839,10,Form Submitted,0
Google,2,1,Other,1
Direct Traffic,1051,11,Email Opened,1
Referral,1404,16,Email Opened,0
Google,156,11,Other,0
Social Media,1937,9,Email Opened,0
Social Media,510,2,Form Submitted,1
Google,3404,7,Page Visited,0
Social Media,4782,19,Page Visited,0
Organic Search,1137,18,Form Submitted,0
Organic Search,3914,7,Page Visited,0
Organic Search,3321,9,Form Submitted,1
Direct Traffic,4666,12,Other,0
Google,714,3,Page Visited,1
Direct Traffic,2286,16,Other,0
Social Media,2654,7,Other,0
Direct Traffic,990,5,Form Submitted,0
Social Media,4429,7,Page Visited,1
Social Media,2160,19,Email Opened,0
Referral,4457,17,Email Opened,0
Organic Search,2144,16,Email Opened,0
Social Media,2063,19,Email Opened,0
Referral,2603,18,Form Submitted,0
Organic Search,1977,19,Other,0
Social Media,375,4,Page Visited,0
Social Media,741,1,Form Submitted,0
Direct Traffic,4485,4,Email Opened,1
Direct Traffic,2667,4,Page Visited,0
Organic Search,1240,9,Form Submitted,0
Social Media,3470,8,Other,0
Google,4919,2,Email Opened,0
Direct Traffic,2367,6,Page Visited,0
Organic Search,2243,11,Page Visited,0
Social Media,3549,4,Email Opened,0
Social Media,417,14,Other,0
Google,606,9,Email Opened,0
Organic Search,567,2,Other,1
Social Media,543,1,Page Visited,1
Direct Traffic,883,4,Email Opened,1
Google,4798,12,Other,0
Organic Search,1223,5,Other,0
Google,2893,9,Form Submitted,1
Direct Traffic,2068,4,Other,0
Organic Search,3709,16,Email Opened,0
Google,1786,2,Email Opened,0
Referral,1457,16,Other,0
Direct Traffic,1914,16,Email Opened,1
Direct Traffic,77,11,Page Visited,1
Direct Traffic,3613,1,Page Visited,1
Referral,1308,15,Email Opened,1
Referral,647,4,Other,0
Social Media,2187,18,Page Visited,1
Google,552,17,Other,0
Social Media,281,7,Email Opened,0
Google,1281,18,Form Submitted,0
Referral,1846,13,Page Visited,1
Referral,2487,10,Email Opened,1
Social Media,2793,1,Page Visited,0
Organic Search,3711,2,Other,0
Social Media,4199,17,Form Submitted,0
Google,4861,3,Form Submitted,0
Social Media,2776,17,Email Opened,0
Direct Traffic,1596,12,Page Visited,1
Google,479,12,Form Submitted,0
Google,3312,10,Page Visited,0
Organic Search,3218,7,Other,1
Referral,1963,10,Other,0
Google,2142,18,Email Opened,0
Referral,3898,6,Form Submitted,1
Social Media,2072,7,Form Submitted,1
Direct Traffic,1295,17,Page Visited,0
Organic Search,938,12,Other,0
Referral,761,17,Form Submitted,0
Google,4749,18,Email Opened,0
Referral,1669,14,Email Opened,0
Google,3862,11,Form Submitted,0
Referral,2685,2,Email Opened,1
Google,3899,1,Form Submitted,0
Social Media,1931,11,Form Submitted,0
Google,3939,2,Form Submitted,0
Google,1126,16,Form Submitted,0
Direct Traffic,3297,3,Page Visited,0
Google,4670,1,Form Submitted,1
Direct Traffic,1203,8,Email Opened,0
Organic Search,4135,19,Other,0
Direct Traffic,3772,1,Page Visited,0
Social Media,519,5,Other,0
Direct Traffic,2283,1,Other,0
Organic Search,4558,11,Other,0
Social Media,482,9,Other,0
Referral,2477,5,Other,0
Referral,3093,2,Email Opened,1
Direct Traffic,342,13,Form Submitted,0
Direct Traffic,1462,18,Email Opened,0
Organic Search,1202,12,Page Visited,0
Organic Search,1621,14,Email Opened,0
Google,2398,5,Page Visited,0
Organic Search,3596,10,Form Submitted,0
Google,3535,2,Other,0
Social Media,2877,4,Form Submitted,1
Direct Traffic,2390,12,Email Opened,0
Social Media,3351,11,Email Opened,1
Organic Search,2913,4,Form Submitted,1
Social Media,1189,11,Form Submitted,0
Social Media,2340,9,Email Opened,0
Social Media,3580,10,Form Submitted,0
Organic Search,1603,6,Page Visited,0
Social Media,3297,15,Page Visited,0
Google,597,10,Email Opened,0
Organic Search,644,6,Email Opened,1
Social Media,4543,1,Form Submitted,0
Organic Search,2902,4,Form Submitted,0
Referral,763,14,Other,0
Google,4830,8,Page Visited,0
Social Media,1642,11,Email Opened,1
Referral,2297,15,Email Opened,0
Referral,4696,19,Email Opened,0
Organic Search,2172,8,Email Opened,1
Referral,2160,13,Other,1
Google,3749,18,Page Visited,1
Google,2922,17,Other,1
Direct Traffic,579,6,Page Visited,0
Google,3804,15,Email Opened,0
Referral,4878,13,Page Visited,0
Google,2368,18,Email Opened,0
Organic Search,3932,11,Other,0
Direct Traffic,4627,13,Page Visited,1
Referral,3360,1,Form Submitted,0
Direct Traffic,4707,18,Page Visited,1
Referral,1100,5,Email Opened,0
Organic Search,1670,6,Form Submitted,0
Direct Traffic,2220,1,Email Opened,0
Social Media,4970,7,Form Submitted,0
Referral,216,4,Form Submitted,0
Social Media,375,9,Page Visited,0
Direct Traffic,1609,15,Page Visited,0
Social Media,4106,6,Form Submitted,1
Social Media,3839,17,Form Submitted,0
Direct Traffic,2939,18,Form Submitted,0
Organic Search,4062,4,Email Opened,0
Social Media,1613,9,Page Visited,0
Social Media,3679,14,Email Opened,1
Organic Search,4913,3,Page Visited,1
Social Media,1296,1,Other,1
Social Media,3996,11,Email Opened,0
Social Media,4786,1,Page Visited,0
Google,1155,12,Form Submitted,1
Organic Search,4879,9,Form Submitted,1
Social Media,2366,5,Page Visited,1
Organic Search,2891,15,Form Submitted,1
Referral,1972,18,Form Submitted,0
Referral,784,9,Other,0
Social Media,4492,13,Other,1
Organic Search,1081,13,Other,1
Organic Search,2033,13,Email Opened,1
Organic Search,1614,10,Other,0
Google,4555,10,Other,0
Referral,2416,7,Other,0
Organic Search,4641,5,Page Visited,0
Organic Search,3653,7,Form Submitted,0
Google,496,10,Page Visited,1
Google,504,10,Other,0
Organic Search,3386,13,Email Opened,0
Direct Traffic,2208,15,Page Visited,0
Organic Search,4813,6,Other,0
Organic Search,3216,12,Email Opened,0
Google,3666,19,Email Opened,1
Google,1408,11,Email Opened,0
Organic Search,4364,6,Form Submitted,0
Organic Search,4077,1,Email Opened,1
Organic Search,1477,2,Other,0
Google,4960,15,Page Visited,0
Organic Search,2397,4,Page Visited,0
Organic Search,109,5,Other,0
Social Media,3554,15,Form Submitted,0
Direct Traffic,649,11,Form Submitted,0
Referral,1499,10,Email Opened,1
Direct Traffic,595,17,Other,0
Social Media,978,2,Email Opened,0
Referral,730,10,Email Opened,0
Organic Search,56,3,Other,0
Social Media,2243,19,Form Submitted,0
Organic Search,1701,5,Form Submitted,1
Google,1286,3,Page Visited,0
Social Media,111,8,Other,0
Google,4806,5,Email Opened,1
Social Media,1201,12,Other,0
Social Media,947,14,Email Opened,0
Google,4121,7,Page Visited,0
Referral,757,11,Page Visited,0
Direct Traffic,3388,8,Page Visited,0
Organic Search,1841,5,Page Visited,0
Social Media,3535,8,Email Opened,0
Organic Search,2293,12,Form Submitted,0
Google,1104,15,Email Opened,1
Organic Search,661,19,Page Visited,0
Google,908,16,Form Submitted,0
Organic Search,4617,14,Other,0
Direct Traffic,1856,7,Email Opened,0
Direct Traffic,2311,8,Other,0
Direct Traffic,789,7,Page Visited,0
Direct Traffic,171,18,Other,0
Direct Traffic,4360,6,Form Submitted,0
Direct Traffic,1986,19,Form Submitted,0
Google,1885,4,Form Submitted,1
Social Media,475,3,Email Opened,0
Organic Search,1049,17,Other,1
Direct Traffic,4129,19,Other,1
Google,2311,15,Other,1
Google,1161,6,Page Visited,1
Google,815,12,Email Opened,0
Social Media,3766,19,Email Opened,0
Organic Search,2922,6,Other,0
Social Media,753,11,Email Opened,1
Referral,4661,10,Other,0
Google,461,16,Other,0
Referral,3239,18,Other,0
Direct Traffic,2702,14,Form Submitted,0
Direct Traffic,80,4,Page Visited,0
Social Media,2804,12,Email Opened,0
Organic Search,869,8,Page Visited,1
Referral,4694,7,Form Submitted,1
Organic Search,806,9,Email Opened,1
Social Media,1934,17,Other,1
Direct Traffic,703,10,Page Visited,0
Organic Search,2523,3,Form Submitted,1
Organic Search,2639,8,Email Opened,0
Direct Traffic,4582,14,Email Opened,1
Referral,3909,7,Page Visited,0
Direct Traffic,4801,16,Page Visited,0
Organic Search,1164,18,Email Opened,1
Referral,619,11,Email Opened,0
Referral,3066,6,Form Submitted,0
Direct Traffic,4872,14,Other,0
Organic Search,446,13,Other,0
Social Media,2337,4,Form Submitted,0
Organic Search,208,11,Email Opened,0
Google,2460,18,Page Visited,0
Social Media,3442,1,Page Visited,0
Referral,2711,12,Email Opened,0
Social Media,2337,18,Form Submitted,0
Referral,1291,7,Email Opened,0
Referral,2198,12,Page Visited,0
Social Media,1400,1,Email Opened,0
Referral,4950,4,Email Opened,0
Referral,2655,18,Form Submitted,1
Google,4012,15,Other,1
Organic Search,704,3,Page Visited,1
Organic Search,825,7,Page Visited,0
Google,1004,6,Email Opened,0
Social Media,3460,15,Page Visited,0
Direct Traffic,376,15,Page Visited,0
Direct Traffic,972,6,Other,1
Direct Traffic,4213,8,Page Visited,0
Google,3076,8,Page Visited,0
Google,443,1,Form Submitted,0
Referral,754,13,Form Submitted,0
Direct Traffic,3604,13,Form Submitted,0
Social Media,4735,11,Form Submitted,0
Social Media,2171,4,Form Submitted,0
Direct Traffic,2705,7,Other,0
Direct Traffic,3465,12,Page Visited,0
Direct Traffic,2711,13,Email Opened,1
Google,2407,12,Other,1
Google,622,16,Email Opened,1
Google,1723,6,Form Submitted,0
Organic Search,3322,14,Page Visited,0
Social Media,1919,19,Form Submitted,1
Social Media,918,16,Other,0
Referral,4215,4,Email Opened,0
Google,581,5,Page Visited,0
Organic Search,3881,9,Other,0
Organic Search,1686,3,Other,0
Social Media,3909,10,Page Visited,1
Google,1999,17,Page Visited,0
Referral,2711,19,Other,0
Google,400,10,Email Opened,0
Direct Traffic,3648,12,Email Opened,0
Google,2628,7,Other,0
Direct Traffic,1656,18,Other,0
Direct Traffic,620,19,Form Submitted,0
Referral,246,15,Form Submitted,1
Social Media,3339,7,Email Opened,0
Google,3010,12,Form Submitted,0
Direct Traffic,4719,7,Email Opened,0
Google,2368,10,Page Visited,0
Social Media,3994,10,Form Submitted,0
Social Media,1839,5,Email Opened,0
Organic Search,2903,18,Email Opened,1
Social Media,4395,9,Other,0
Referral,4498,16,Email Opened,0
Direct Traffic,3691,7,Form Submitted,0
Organic Search,3841,10,Other,1
Referral,4348,5,Other,0
Google,1392,7,Form Submitted,0
Direct Traffic,3750,5,Page Visited,1
Social Media,4255,15,Form Submitted,0
Direct Traffic,3008,19,Form Submitted,0
Google,4300,10,Other,0
Organic Search,3338,8,Form Submitted,1
Organic Search,3514,9,Page Visited,1
Organic Search,4953,11,Page Visited,1
Social Media,759,2,Page Visited,1
Referral,2768,3,Other,0
Referral,3088,13,Form Submitted,0
Direct Traffic,2115,11,Email Opened,0
Social Media,4228,10,Form Submitted,1
Organic Search,1723,15,Page Visited,0
Organic Search,2966,6,Form Submitted,1
Google,429,1,Other,0
Google,2355,14,Form Submitted,1
Organic Search,2459,18,Other,0
Organic Search,4192,11,Email Opened,1
Social Media,1718,8,Email Opened,0
Referral,1265,3,Other,0
Google,1308,14,Form Submitted,0
Referral,1050,2,Page Visited,0
Social Media,3473,16,Other,0
Organic Search,2249,6,Form Submitted,1
Referral,2809,1,Form Submitted,0
Organic Search,2921,14,Form Submitted,0
Organic Search,4676,10,Page Visited,0
Direct Traffic,4041,6,Page Visited,0
Referral,2417,9,Page Visited,1
Referral,532,7,Other,1
Organic Search,898,2,Other,1
Social Media,2654,11,Page Visited,0
Direct Traffic,1469,14,Other,0
Organic Search,2920,5,Page Visited,0
Google,1252,9,Other,0
Google,769,7,Form Submitted,1
Direct Traffic,833,14,Page Visited,0
Social Media,2209,16,Other,0
Organic Search,4649,16,Form Submitted,1
Referral,3424,7,Form Submitted,0
Direct Traffic,1091,10,Other,0
Social Media,1196,6,Form Submitted,1
Referral,3914,17,Email Opened,0
Google,1660,1,Page Visited,1
Google,4654,2,Page Visited,0
Referral,260,14,Form Submitted,0
Direct Traffic,2264,4,Other,0
Google,4900,9,Email Opened,0
Organic Search,1185,6,Other,0
Referral,2449,17,Page Visited,0
Referral,3533,11,Form Submitted,0
Google,4370,4,Email Opened,0
Direct Traffic,4301,9,Form Submitted,0
Organic Search,3344,16,Email Opened,0
Direct Traffic,866,3,Form Submitted,1
Social Media,92,4,Other,1
Social Media,3178,3,Page Visited,0
Google,1351,13,Form Submitted,0
Google,364,19,Form Submitted,0
Google,4916,1,Email Opened,0
Social Media,3718,6,Other,0
Direct Traffic,1924,3,Other,0
Direct Traffic,3095,3,Email Opened,0
Google,2538,16,Other,0
Organic Search,1296,10,Page Visited,1
Direct Traffic,2276,17,Form Submitted,0
Social Media,2,7,Email Opened,0
Referral,3492,13,Other,1
Referral,1753,11,Page Visited,1
Referral,910,10,Page Visited,0
Organic Search,306,7,Other,1
Google,4231,6,Other,0
Social Media,4015,1,Email Opened,0
Organic Search,1438,17,Other,0
Social Media,872,12,Email Opened,1
Social Media,1141,4,Form Submitted,0
Google,665,3,Page Visited,0
Referral,208,6,Email Opened,0
Google,951,16,Page Visited,0
Organic Search,1057,13,Form Submitted,0
Organic Search,4744,9,Other,0
Organic Search,4722,11,Email Opened,0
Google,4620,13,Other,0
Social Media,4008,19,Page Visited,0
Social Media,1868,3,Email Opened,1
Direct Traffic,4864,12,Form Submitted,0
Organic Search,771,19,Form Submitted,0
Social Media,4835,8,Other,1
Direct Traffic,4030,14,Form Submitted,0
Social Media,521,9,Form Submitted,0
Organic Search,3355,17,Other,0
Referral,1400,6,Other,0
Organic Search,3738,4,Email Opened,0
Google,4343,4,Email Opened,0
Social Media,3723,19,Other,0
Social Media,3247,12,Page Visited,0
Google,1858,2,Page Visited,0
Google,4781,17,Email Opened,1
Referral,4064,15,Email Opened,1
Social Media,4681,10,Other,0
Social Media,2398,3,Page Visited,0
Referral,142,4,Other,0
Direct Traffic,2851,1,Email Opened,0
Referral,3469,1,Form Submitted,1
Organic Search,3695,18,Form Submitted,0
Social Media,717,4,Form Submitted,0
Google,642,15,Other,0
Organic Search,3440,10,Page Visited,0
Social Media,2548,17,Email Opened,0
Referral,3693,12,Page Visited,0
Organic Search,369,12,Page Visited,0
Social Media,3650,16,Email Opened,1
Direct Traffic,786,5,Page Visited,0
Direct Traffic,949,16,Form Submitted,1
Google,521,17,Email Opened,1
Social Media,2943,15,Form Submitted,0
Direct Traffic,354,13,Other,0
Referral,2335,8,Form Submitted,0
Social Media,1482,2,Other,0
Referral,1647,8,Other,0
Referral,3045,10,Email Opened,0
Direct Traffic,4631,7,Form Submitted,0
Social Media,2215,10,Form Submitted,1
Organic Search,4716,4,Form Submitted,1
Direct Traffic,427,11,Email Opened,0
Direct Traffic,2537,9,Other,0
Social Media,544,4,Other,1
Social Media,2764,3,Other,0
Referral,4919,11,Email Opened,0
Social Media,3765,3,Email Opened,0
Referral,658,18,Page Visited,1
Direct Traffic,2827,19,Form Submitted,0
Google,2058,14,Other,0
Organic Search,3327,11,Page Visited,0
Direct Traffic,730,2,Page Visited,1
Social Media,1832,2,Form Submitted,1
Organic Search,408,2,Email Opened,0
Google,4179,10,Page Visited,1
Google,3247,15,Email Opened,0
Referral,4802,12,Email Opened,0
Organic Search,133,11,Form Submitted,1
Referral,4883,17,Page Visited,0
Direct Traffic,4959,18,Other,0
Organic Search,666,14,Page Visited,0
Direct Traffic,276,17,Other,1
Referral,3307,15,Other,1
Organic Search,881,12,Email Opened,1
Referral,2060,16,Other,0
Organic Search,2082,6,Form Submitted,1
Referral,1237,2,Page Visited,0
Google,2452,2,Email Opened,0
Referral,158,16,Email Opened,1
Google,2596,2,Other,0
Referral,3815,8,Email Opened,0
Organic Search,4374,7,Form Submitted,0
Organic Search,2526,1,Form Submitted,0
Organic Search,110,4,Email Opened,0
Social Media,541,11,Email Opened,0
Direct Traffic,1138,7,Form Submitted,0
Organic Search,3283,18,Other,0
Google,3610,4,Email Opened,1
Organic Search,4455,17,Other,0
Social Media,3557,11,Email Opened,0
Google,2419,11,Form Submitted,0
Social Media,1756,11,Email Opened,1
Google,3086,15,Email Opened,0
Referral,2306,14,Email Opened,0
Direct Traffic,975,17,Form Submitted,1
Direct Traffic,722,2,Form Submitted,0
Social Media,2570,18,Form Submitted,1
Direct Traffic,324,16,Page Visited,0
Social Media,1529,12,Page Visited,0
Social Media,1945,10,Page Visited,0
Social Media,4486,16,Page Visited,0
Direct Traffic,2430,3,Form Submitted,1
Social Media,4111,8,Email Opened,1
Direct Traffic,3510,2,Form Submitted,1
Social Media,845,1,Page Visited,1
Organic Search,4964,14,Other,1
Social Media,567,4,Other,0
Google,3688,4,Form Submitted,1
Social Media,2179,9,Email Opened,0
Referral,2019,3,Page Visited,0
Social Media,3319,5,Email Opened,0
Google,2320,1,Email Opened,1
Google,1646,19,Email Opened,0
Direct Traffic,4003,1,Page Visited,1
Organic Search,3909,10,Form Submitted,0
Social Media,3420,12,Page Visited,1
Direct Traffic,2531,10,Page Visited,1
Organic Search,356,2,Form Submitted,0
Social Media,3081,16,Form Submitted,1
Referral,2280,8,Form Submitted,0
Social Media,4131,14,Other,0
Google,2460,15,Other,1
Google,2787,16,Form Submitted,0
Referral,4209,11,Email Opened,0
Direct Traffic,1197,12,Other,0
Organic Search,1278,2,Page Visited,0
Social Media,465,4,Page Visited,0
Google,4000,3,Other,0
Direct Traffic,3348,9,Page Visited,1
Referral,1487,18,Form Submitted,0
Google,4942,19,Page Visited,0
Referral,4597,7,Other,1
Social Media,4536,4,Email Opened,1
Organic Search,325,6,Page Visited,1
Google,1765,19,Page Visited,0
Google,4162,1,Email Opened,0
Social Media,303,16,Other,0
Direct Traffic,4579,11,Email Opened,0
Organic Search,1440,4,Page Visited,1
Google,148,18,Other,0
Organic Search,3034,5,Form Submitted,0
Google,2631,6,Other,0
Organic Search,95,2,Other,0
Referral,3455,12,Form Submitted,0
Google,4377,9,Other,1
Organic Search,2369,12,Page Visited,0
Direct Traffic,3467,13,Page Visited,0
Referral,528,17,Page Visited,0
Referral,2310,5,Page Visited,0
Direct Traffic,4675,13,Form Submitted,0
Organic Search,1663,13,Page Visited,0
Social Media,3364,10,Other,0
Direct Traffic,2341,15,Email Opened,1
Organic Search,4905,15,Form Submitted,0
Direct Traffic,692,18,Form Submitted,0
Direct Traffic,4330,18,Email Opened,0
Google,951,2,Page Visited,0
Organic Search,1360,11,Page Visited,0
Social Media,538,13,Other,0
Google,819,11,Page Visited,0
Direct Traffic,3162,4,Page Visited,0
Direct Traffic,3925,15,Other,0
Direct Traffic,271,11,Page Visited,0
